,date,open,high,low,close,adj_close,volume,adx,adxr,apo,aroon_up,aroon_dn,aroon_osc,bop,cci,cmo,dx,macd,macdsignal,macdhist,macd_ext,macdsignal_ext,macdhist_ext,macd_fix,macdsignal_fix,mfi,minus_di,minus_dm,mom,plus_di,plus_dm,rpo,roc,rocp,rocr,rocr100,rsi,slowk,slowd,fastk,fastd,trix,ult_osc,willr,ad,ad_osc,obv,atr,natr,tr,avg_price,median_price,typical_price,weighted_close_price,ht_domint_cycle_period,ht_dominent_cycle_phase,ht_phasor_inphase,ht_phasor_quadrature,ht_sine,ht_leadsine,ht_trend_mode,beta,corr,linear_reg,linear_reg_angle,linear_reg_intercept,linear_reg_slope,std_dev,time_series_forecast,variance,two_crows,three_inside,three_line_strike,three_outside,advance_block,belt_hold,closing_marubozu,counter_attack,dark_cloud_cover,doji,doji_star,dragonfly_doji,engulfing,evening_doji_star,evening_star,gap_side2_white,gravestone_doji,hammer,hanging_man,harami,harami_cross,high_wave,hikkake_pattern,hikkake_mod,homing_pigeon,in_nect,inverted_hammer,ladder_bottom,long_legged_doji,long_line_candle,marubozu,matching_low,morning_doji_star,morning_star,on_neck,piercing,rickshaw_man,rising_fall_3methods,separating_lines,shooting_star,short_line,spinning_top,stalled_pattern,stick_sandwich,takuri,tasuki_gap,thrusting,tri_star,unique_three_river,upside_gap_two_crows,xside_three_methods,trend
1305,2014-07-30 00:00:00,595.8099980000001,598.450012,592.700012,595.4400019999999,595.4400019999999,1215100,16.34185574384107,18.154951481815647,6.087500903846035,0.0,84.0,84.0,-0.06434713043480493,27.948354713388913,9.912904337965205,7.182943287653121,6.495899258226814,7.523664343137896,-0.9677609307487485,6.087500903846035,7.538734829059624,-1.4512339252135895,6.210799519635771,7.178560450384519,53.36477678662839,19.109819122649874,24.838052297364364,4.820006999999919,22.067567447307614,28.68239572619446,1.0298510187253334,0.8160927569003107,0.008160927569003008,1.008160927569003,100.8160927569003,54.95645216898261,23.189055358636892,30.71240191055905,13.459802314120449,7.726916883480637,0.12010547995660037,51.474808214585046,-42.01488540376368,177559320.01785886,399533.8950139582,201988600.0,9.283952826984534,1.559175197467592,5.75,595.600006,595.575012,595.5300086666666,595.507507,18.727630130791734,184.52537622136103,11.129750215351992,-7.251921793621,-0.07890062132402043,-0.760693530651094,0,0.46485416680669445,0.9719603900341895,600.9877230571432,36.20250089010655,591.472289942857,0.7319563934066314,3.132189281743008,601.7196794505497,9.810609696665779,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,100,100,-100,0,0,100,0,0,0,100,0,0,0,0,0,0,0,100,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0.0
1306,2014-07-31 00:00:00,588.960022,591.98999,577.679993,579.549988,579.549988,2309500,16.43834292278572,18.073613102002184,4.692050967948603,40.0,80.0,40.0,-0.657584624231574,-93.98343069983984,-11.639661061369493,17.692676249066178,4.7059855640573005,6.960128587321777,-2.1237323591891784,4.692050967948603,6.989802373931436,-2.297751405982833,4.523895001398046,6.647627360587224,46.342837957350056,27.507071704241586,38.08392470469553,-1.2700190000000475,19.236825334908016,26.633653174323427,0.793414328636592,-0.21865965095793083,-0.0021865965095793395,0.9978134034904207,99.78134034904207,44.18016946931525,12.71739392234027,20.31735281058853,0.0,4.486600771373487,0.12154569108107083,42.50874675499855,-91.57825248704792,175853419.5088301,-251537.1441796422,199679100.0,9.88938541077135,1.7063904090308342,17.760008999999968,584.5449982499999,584.8349915,583.0733236666666,582.19248975,18.584256043845016,205.0247064379202,4.828575688784026,-18.248933377895103,-0.42300903022947733,-0.9398400154750013,0,1.152374964948251,0.9611502027221093,595.3300065142861,-3.4587016093732377,596.1157156285714,-0.06043916263733077,7.0652647885268305,595.2695673516488,49.91796653199708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1307,2014-08-01 00:00:00,578.549988,583.429993,570.299988,573.599976,573.599976,2213300,17.17095872074021,18.216408558518427,3.7479474743588526,100.0,76.0,-24.0,-0.3770000087585665,-140.90134091416377,-18.114590750766258,26.69496409414859,2.77535723313747,6.123174316484915,-3.1577646043354672,3.7479474743588526,6.431454119657941,-2.6835066452990883,2.7004216051678895,5.858186209503357,38.88361045258341,30.166590027018202,42.743649368645826,-31.510008999999968,17.45422938392703,24.731249376157468,0.6342773755530331,-5.2073192941940905,-0.05207319294194091,0.9479268070580591,94.7926807058059,40.94270462461687,12.744346415263287,16.216931898746815,0.0,4.486600771373487,0.12163779177662981,38.085779153374446,-91.45301921251722,174752664.92528653,-845257.4691427052,197465800.0,10.120858238573394,1.7644453734379852,13.130004999999983,576.4699862499999,576.8649905,575.7766523333333,575.23248325,18.411898401187322,236.80592870167183,-1.7729708941256268,-13.360476962912102,-0.8368209682833403,-0.9788462232177706,1,1.204584905480124,0.9531359756328837,589.4322859142858,-36.52910368440872,599.0620028000001,-0.7407474527472493,9.904279767987891,588.6915384615386,98.09475772257429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1308,2014-08-04 00:00:00,576.51001,583.820007,572.26001,582.27002,582.27002,1519400,17.795261459416626,18.419603584146728,3.964935737179303,96.0,72.0,-24.0,0.4982708905547334,-94.50464983932922,-5.9331737390065795,25.91119706221003,1.9227561279080874,5.2830906787695495,-3.1772776041436925,3.964935737179303,5.984787122506948,-2.0198513853276454,1.8865892043237409,5.063866808467433,44.60922505934366,27.73018341518177,39.690531556599694,-16.16998199999989,16.317024557085986,23.354745563574856,0.6711082126158624,-2.70202224884023,-0.02702022248840226,0.9729797775115977,97.29797775115976,47.03341313049671,20.386946769864284,15.282895702489279,43.46238211154749,14.487460703849168,0.12100735614142266,44.31484940791626,-68.99757407313149,175864616.67978957,-657498.6375454962,198985200.0,10.223653864389586,1.7558269382286908,11.559997000000067,578.71501175,578.0400085,579.4500123333333,580.15501425,18.432885416749393,258.1443421328655,-4.194860693559205,-10.588705376681315,-0.9786682768115466,-0.8372958286252323,1,1.4909943868724003,0.9475939444490016,586.1828615999999,-48.29270436214683,600.7700016857144,-1.122087698901113,8.440439623777394,585.0607739010989,71.24102104263147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0.0
1309,2014-08-05 00:00:00,579.380005,580.200012,570.3099980000001,573.1400150000001,573.1400150000001,1643800,18.54556504126603,18.419944306599213,1.7834633782049423,92.0,68.0,-24.0,-0.6309384395209099,-126.92799605068379,-15.782997060356054,28.29951160530827,0.5045325710714224,4.327379057229924,-3.6185022662848576,1.7834633782049423,5.3881489715097866,-3.6046855933048443,0.5407389756113616,4.159241241896219,39.092071745574366,26.78689121552643,38.805505588271046,-30.42999199999997,14.969918113462704,21.686549451890937,0.3021172784133561,-5.041667353759005,-0.05041667353759009,0.94958332646241,94.95833264624099,42.108501469821974,21.08837486677114,18.073222683966236,8.318951383377907,17.26044449830847,0.11932928557500944,42.79113301032068,-92.64431985663794,175161559.92739266,-744615.4787869155,197341400.0,10.347680159790329,1.8054366976610992,11.96002199999998,575.7575075,575.255005,574.5500083333333,574.19751,18.48765765015711,278.71167514834747,-7.494788150278137,-9.482987493055521,-0.9884630439027526,-0.5918489426813108,1,1.448098099931417,0.9427835647809862,580.5454349428574,-60.90881996648456,603.9102883428569,-1.797296415384584,8.106403187168668,578.7481385274727,65.71377263293834,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1310,2014-08-06 00:00:00,569.5,578.6400150000001,567.450012,574.48999,574.48999,1322800,19.49040393639729,18.81568045379391,0.17916723717928562,100.0,64.0,-36.0,0.4459328563182703,-124.82565967148166,-13.884130040894279,31.773309573103663,-0.5046705868044228,3.360969128423055,-3.6652097576684417,0.17916723717928562,4.609274405982723,-4.4301071688034375,-0.4222709551893331,3.2429388024791086,41.528163998823665,26.69254760370583,38.89366976053745,-30.7000119999999,13.820281117345074,20.1375102053273,0.030370931442597976,-5.072789024693758,-0.05072789024693753,0.9492721097530624,94.92721097530624,43.05793497955286,27.079555434108745,22.851625690248056,34.72880622827362,28.836713241066345,0.11684887141487632,43.3448652740884,-83.01981518988883,175503188.95362258,-603861.7256046534,198664200.0,10.407846076948166,1.8116670887421669,11.190003000000047,572.52000425,573.0450135000001,573.5266723333334,573.7675017500001,18.454082963910423,298.05224594680476,-8.570920480799932,-7.985290923323541,-0.8825191317150269,-0.29149956360908247,1,1.399725089910003,0.9454484438735639,574.3545744285716,-69.5389598905037,609.1968607142859,-2.6801758681318697,3.6407372502037045,571.6743985604397,13.254967725020833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0.0
1311,2014-08-07 00:00:00,576.049988,578.3099980000001,569.429993,571.8099980000001,571.8099980000001,1163000,20.36775433901917,19.183149733331845,-1.7105774102567466,96.0,60.0,-36.0,-0.4774760825021917,-120.3959152108409,-16.801280708301412,31.773309573103653,-1.5033941254614547,2.3880964776461533,-3.694900134011646,-1.7105774102567466,3.644046338318895,-5.354623748575642,-1.375686365035449,2.319213768976197,26.228465152229656,25.048584074227403,36.11555049192763,-31.2000119999999,12.969105783264176,18.69911661923249,-0.290335295984396,-5.174045452412956,-0.051740454524129544,0.9482595454758704,94.82595454758705,41.59935964584929,21.80356641543574,23.323832238771875,10.781258380671096,17.943005330774213,0.1135860237359898,40.31599078826349,-89.48386372095224,174963599.82219756,-663071.5751557946,197501200.0,10.298714571451876,1.8010728401870082,8.880005000000097,573.89999425,573.8699955,573.1833296666667,572.83999675,18.413133918268993,314.6926859480564,-12.652287032668376,-13.819200054412454,-0.7108892594313155,-0.005363616326635704,1,1.039820636501934,0.9508457662307301,571.1254275999996,-70.41744134006665,607.6688665428574,-2.811033764835213,3.7064755574194983,568.3143938351644,13.73796105774818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1312,2014-08-08 00:00:00,572.02002,579.5599980000001,569.02002,577.9400019999999,577.9400019999999,1493300,20.956825649922077,19.614170480519405,-3.487563551282392,92.0,56.0,-36.0,0.5616692938068637,-94.56947609562921,-7.80569750797198,28.614752691659895,-1.7797339677089212,1.5545303885751385,-3.1754369827172235,-3.487563551282392,2.451061715099513,-5.938625266381905,-1.6500824594203323,1.525354523296891,34.10313347699892,23.220543968407696,33.535868313932795,-20.140015000000062,12.888134830013609,18.613465432144455,-0.5924386911537942,-3.36744489491948,-0.03367444894919481,0.9663255510508052,96.63255510508051,46.097151246014015,39.80079859336751,29.561306814304,82.7704698319979,42.76017814698088,0.10998372311921134,44.515921207137204,-74.69850490211527,175997859.01076508,-297932.0831410587,198994500.0,10.31594767349103,1.7849513163636372,10.53997800000002,574.63501,574.290009,575.5066733333333,576.1150055,18.35116899360171,-30.40071732937605,-20.11928761733327,-1.3022904072060144,-0.5060445625451511,0.2520572427373428,1,0.7187594481275151,0.9542800409385961,569.4711409999998,-70.60386016391168,606.3945817142858,-2.840264670329689,3.7700934530688026,566.6308763296702,14.213604644872248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1313,2014-08-11 00:00:00,579.0,579.6900019999999,575.299988,577.25,577.25,1203400,21.47922293655397,20.00210528044746,-5.025384243589997,88.0,52.0,-36.0,-0.3986319861394564,-72.76978541378227,-8.658452674347815,28.27038766276855,-2.0310005681282064,0.8374241972344695,-2.73949410740708,-5.025384243589997,1.1368378326208761,-6.162222076210873,-1.8990131109619597,0.8404809964451208,31.69392340632222,22.484511653959174,31.140449148651882,-21.770020000000045,12.573481174553145,17.41393618699115,-0.8545548882841252,-3.6342725239800866,-0.03634272523980091,0.9636572747601991,96.36572747601991,45.67077366282609,55.859084710283845,39.1544832396957,90.52029037600795,61.35733952955899,0.10608605551691852,48.90286253386484,-76.36276599488365,175863541.90699276,-164209.36186796427,197791100.0,9.892666696813095,1.713757764714265,4.390013999999951,577.8099975,577.494995,577.41333,577.3724975,18.381877635024797,-16.22154589602212,-13.743722269453913,12.190814725945279,-0.27935220169689273,0.4814241077012695,1,1.0108574462267463,0.9531990966004377,568.9579974571428,-69.1816358093057,603.147724257143,-2.6299789846153985,2.3483824076719184,566.3280184725273,5.514899932662956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,0.0
1314,2014-08-12 00:00:00,575.0,575.900024,569.909973,572.119995,572.119995,1394500,22.511414693628065,20.719453521570692,-6.471795756410415,84.0,48.0,-36.0,-0.480798076677475,-91.11614859663054,-14.956602671783989,35.92990753559129,-2.613947727224513,0.14714981234267288,-2.6388818477467204,-6.471795756410415,-0.2586395740742849,-6.213156182336131,-2.45812131323828,0.18076053450844065,25.87811397018997,25.23536986117249,34.30614635231956,-21.830016999999998,11.894604430268814,16.17008360220607,-1.101857085030829,-3.6753963395828704,-0.03675396339582867,0.9632460366041713,96.32460366041713,42.521698664108,59.69891060920035,51.78626463761723,20.50648629929701,64.59908216910095,0.1017244398276107,49.9747403874891,-88.73616161867591,175498040.05041423,-210872.53372505307,196396600.0,9.71033528989787,1.6972550120185659,7.340026999999964,573.2324980000001,572.9049985,572.6433306666667,572.5124967500001,18.555206763422277,-10.185606763213741,-9.799942885342249,8.371320285968315,-0.1768374955740723,0.5709198300515896,1,1.6534162136644588,0.9572241991276562,568.1091378285718,-67.3560915846174,599.2722971714284,-2.3971661032966645,2.5318110191500716,565.711971725275,6.410067036689725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,0,0,0,0,1.0
1315,2014-08-13 00:00:00,576.450012,586.130005,575.200012,584.5599980000001,584.5599980000001,1899400,21.730396708926175,20.146036843813626,-7.913719666667021,80.0,44.0,-36.0,0.7419937048450144,-32.43769364825586,2.5846091420081216,11.577162907801632,-2.048519219653599,-0.29198399405658154,-1.6942612656100466,-7.913719666667021,-1.6592807556982432,-6.254438910968777,-1.9370660475041177,-0.242804781894071,34.13382128227844,22.714428826513995,31.855707327153876,-10.880003999999872,18.000764559937974,25.245058630619873,-1.3468089089304842,-1.827220872540547,-0.018272208725405508,0.9817277912745945,98.17277912745945,51.29230457100407,68.61338952114586,61.390461613543344,100.0,70.34225889176832,0.09759565106586265,52.713754456441656,-49.15303326921814,176851772.49220082,219941.26687690616,198296000.0,10.01745491204802,1.713674378390842,14.010009999999966,580.58500675,580.6650085,581.9633383333334,582.61250325,18.646213275504067,5.248669513909363,-8.019602569700949,10.87707846370044,0.09147849469109988,0.76882698322103,1,0.574781338449359,0.957853163137532,571.0925660285714,-60.04832927407046,593.6531529714287,-1.735429764835177,4.658363648051456,569.3571362637362,21.700351877487265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1316,2014-08-14 00:00:00,586.6900019999999,587.799988,580.919983,584.650024,584.650024,1272900,20.761813931262342,19.28346393908151,-8.738335551282375,76.0,40.0,-36.0,-0.29650821474692396,-18.381706355314414,2.7003187020906756,8.170237821632474,-1.5749931670592332,-0.5485858286571119,-1.0048300959136967,-8.738335551282375,-3.0466455363250464,-5.691690014957329,-1.4988424017861917,-0.4940123058724951,40.314660756683615,21.574622132571868,29.5802996609286,5.1000360000000455,18.315503963198363,25.11182315700417,-1.4870219025912996,0.8799993280303564,0.008799993280303623,1.0087999932803036,100.87999932803035,51.350159351045335,70.73483925228265,66.34904646087628,100.0,73.50216209976567,0.09368460145464663,56.45733542080751,-48.885496578837234,176959095.0905565,410336.7150656879,199568900.0,9.793351346901732,1.675079268773233,6.880004999999983,585.01499925,584.3599855,584.456665,584.50500475,18.687756577269028,19.298094005379284,-3.999563422890548,9.836297131895034,0.33048299615958915,0.9010625947717326,0,0.5962615984662227,0.9589742993053931,573.9220022571432,-49.0537306688792,588.9051463142856,-1.1525495428571133,4.772731334818069,572.769452714286,22.77896439435426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
1317,2014-08-15 00:00:00,587.5,589.469971,580.76001,583.710022,583.710022,1723400,19.616435207977105,18.33141133960862,-9.856989423077266,72.0,36.0,-36.0,-0.4351314546643791,-13.183844033708963,1.346698653542824,4.726511805269016,-1.26103424645612,-0.6910755122169135,-0.5711319419582707,-9.856989423077266,-4.582414998575776,-5.27457442450149,-1.2079272333203335,-0.6367952913620628,47.67397307563606,20.19313968300428,27.467421113719414,10.110046000000011,18.370428099243423,24.988104502932448,-1.6769828841608325,1.7625603945283341,0.01762560394528331,1.0176256039452833,101.76256039452834,50.67334932677141,81.53447855593456,73.62756910978769,92.33377087723412,97.44459029241136,0.08992900951168004,53.444070831786746,-47.61591003704979,176403105.7553804,274016.7267627716,197845500.0,9.71596632212304,1.6645193599439414,8.709961000000021,585.3600007499999,585.1149905,584.6466676666666,584.41250625,18.769514132054912,33.12976684497599,-1.7344208853973644,10.393000937667132,0.5465371068418434,0.9786159821894613,0,0.5874060311222015,0.9607923281854609,577.0277239142856,-26.862417973945554,583.6122820857144,-0.5065044747252863,4.995772038041962,576.5212194395604,24.95773825608194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
1318,2014-08-18 00:00:00,587.099976,595.049988,586.549988,592.700012,592.700012,1466000,18.646526132356367,17.49419093809872,-8.993845935897639,68.0,32.0,-36.0,0.6588277647058877,34.09343422695117,13.138195722694476,6.03770814928675,-0.28353407508382134,-0.6095672247902951,0.2763508324982241,-8.993845935897639,-5.7798938112538405,-3.2139521246437983,-0.2913567507392827,-0.5677075832375068,54.31290969825441,18.529546297393825,25.505462462739455,10.42999199999997,20.91084182518084,28.783256895580127,-1.5295296074709257,1.791263785142161,0.017912637851421526,1.0179126378514216,101.79126378514216,56.56909786134724,81.47728434618377,77.91553405146698,99.99999999999999,97.44459029241136,0.08674339732501757,59.19376966443869,-18.548387096774192,177058502.26926276,401874.101713866,199311500.0,9.831966299114251,1.658843613978913,11.339966000000004,590.349991,590.799988,591.4333293333333,591.75,18.91786060342489,47.47999275829031,2.8418721879769517,6.38754165778234,0.7370413810055587,0.9990633922236376,0,0.7538165206631129,0.9608863534160629,582.1582989428574,16.517777389922575,578.3031356285712,0.29655102417585727,6.582149647464443,582.4548499670333,43.32469398161629,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
